recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
349,Pterocyclophora pictimargo,,635461,Noctuoidea,Erebidae,Erebinae,Sypnini,,Pterocyclophora
350,Pseudocatharylla nigrociliella,,873818,Pyraloidea,Crambidae,Crambinae,Crambini,,Pseudocatharylla
351,Problepsis vulgaris,,121887,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Problepsis
352,Pomasia sparsata,,1103444,Geometroidea,Geometridae,Larentiinae,Eupitheciini,,Pomasia
353,Phyllodes consobrina,,519890,Noctuoidea,Erebidae,Calpinae,Phyllodini,,Phyllodes
354,Palpita vitrealis,Jasmine Moth,336922,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Palpita
355,Padenia transversa,,424824,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Cisthenina,Padenia
356,Pachynoa xanthochyta,,800890,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Pachynoa
357,Omiodes analis,,124868,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Omiodes
358,Olepa ocellifera,,203894,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Olepa
359,Noorda blitealis,,503434,Pyraloidea,Crambidae,Glaphyriinae,,,Noorda
360,Miltochrista arcuata,,985194,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Miltochrista
361,Mecodina albodentata,,496571,Noctuoidea,Erebidae,Aganainae,,,Mecodina
362,Mecodina agrestis,,359264,Noctuoidea,Erebidae,Aganainae,,,Mecodina
363,Macroglossum gyrans,,199457,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Macroglossina,Macroglossum
364,Lysimelia alstoni,,424799,Noctuoidea,Erebidae,Herminiinae,,,Lysimelia
365,Lophophleps purpurea,,320818,Geometroidea,Geometridae,Sterrhinae,Sterrhini,,Lophophleps
366,Lissoblemma lunuliferata,,951172,Geometroidea,Geometridae,Sterrhinae,Lissoblemmini,,Lissoblemma
367,Lebeda nobilis,,155509,Lasiocampoidea,Lasiocampidae,Lasiocampinae,Pinarini,,Lebeda
368,Labdia semicoccinea,,371511,Gelechioidea,Cosmopterigidae,Cosmopteriginae,,,Labdia
369,Ischnurges gratiosalis,,203100,Pyraloidea,Crambidae,Spilomelinae,,,Ischnurges
370,Idaea costiguttata,,126722,Geometroidea,Geometridae,Sterrhinae,Sterrhini,,Idaea
371,Idaea amplipennis,,860904,Geometroidea,Geometridae,Sterrhinae,Sterrhini,,Idaea
372,Hypena laceratalis,Lantana Defoliator,202242,Noctuoidea,Erebidae,Hypeninae,,,Hypena
373,Horisme leprosa,,635381,Geometroidea,Geometridae,Larentiinae,Eupitheciini,,Horisme
374,Hodebertia testalis,,711646,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Hodebertia
375,Histia flabellicornis,,202782,Zygaenoidea,Zygaenidae,Chalcosiinae,,,Histia
376,Hipoepa biasalis,,495868,Noctuoidea,Erebidae,Herminiinae,,,Hipoepa
377,Herpetogramma phaeopteralis,Dusky Herpetogramma Moth,330489,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,Herpetogramma
378,Herpetogramma bipunctalis,Southern Beet Webworm Moth,330488,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,Herpetogramma
379,Hendecasis duplifascialis,Jasmine bud worm (moth),244564,Pyraloidea,Crambidae,Cybalomiinae,,,Hendecasis
380,Gonodontis clelia,,524135,Geometroidea,Geometridae,Ennominae,Gonodontini,,Gonodontis
381,Gabala polyspilalis,,918922,Noctuoidea,Nolidae,Chloephorinae,Ariolicini,,Gabala
382,Eupterote undata,Monkey Moth,563430,Bombycoidea,Eupterotidae,Eupterotinae,,,Eupterote
383,Eupterote fabia,,946474,Bombycoidea,Eupterotidae,Eupterotinae,,,Eupterote
